序号,编号,原文,参考译文1-XXLIN,参考译文2-网络培训机构(扣分点设置版),待评文本 ,忠实错误,,,,,,,流畅错误,,,,,,,语言习惯错误,,,,,,
10,2021下-5,中国，将继续高举人类命运共同体旗帜，坚持共商共建共享原则，积极践行真正的多边主义，捍卫以《联合国宪章》为基础的国际秩序，持续完善全球治理体系，建设人类卫生健康共同体，与各国一道维护世界和平稳定，弥合人类发展鸿沟，共同开创更加美好的未来。,"Going forward, China will continue to push for a community with a shared future for mankind under the principle of extensive consultation, joint contribution, and shared benefits. It will uphold multilateralism, defend the international order underpinned by the UN Charter，upgrade the global governance system, and build a global community of health for all. Moreover, it stands ready to work together with other countries to maintain world peace and stability, bridge human development disparities and together shape the future for the better.","China will stay committed to the vision of building a community with a shared future for mankind, follow the principles of extensive consultation, joint contribution and shared benefits, uphold true multilateralism, and safeguard the international order based on the UN Charter. China will continue to improve the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, bridge the development gap, and create a brighter future for all.","China will stay committed to the vision of building a community with a shared future for mankind, follow the principles of extensive consultation, joint contribution and shared benefits, <漏译> and safeguard the international order based on the UN Charter. China will continue to maintain<误译> the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, totally<增译/过译> bridge the development gap, and create a brighter future for all.","<漏译>：uphold true multilateralism,
<增译/过译>：totally
<误译>：improve",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""omissions"": ""The original text mentions 'actively practice true multilateralism' and 'continuously improve the global governance system', which are not explicitly mentioned in the text to evaluate.""},
      {""mistranslations"": ""The phrase 'totally bridge the development gap' in the text to evaluate simplifies the original text's 'bridge human development disparities' and changes the nuance by adding 'totally', which is not present in the source or reference text.""}
    ]
}",2,2,1.00 ,0.67 ,-,0,,,,,,-,0,,,,,
11,2021上-1,2020年11月中国开始了第七次人口普查。人口普查将为开启全面建设社会主义现代化国家新征程提供科学准确的统计信息支持。开展第七次全国人口普查，是推动经济高质量发展的内在要求。当前，我国经济正处于转变发展方式、优化经济结构、转换增长动力的攻关期。,"In November 2020, China launched its seventh national census. The census will provide relevant and accurate statistical information for the country as it embarks on the journey of building a modern socialist country in all respects. The latest census is an inherent requirement of enhanced high-quality economic development. The Chinese economy is now at a significant stage of transforming the growth model, enhancing economic restructuring, and transitioning to new growth drivers.","China carried out its Seventh National Population Census in November, 2020. The census will provide scientific and accurate statistical information support for China to embark on a new journey toward building a modern socialist country. The census reflects the internal need for the advancement of quality economic development. At present, China’s economy is in the critical period of transforming the development mode, optimizing the economic structure, and transforming the growth momentum.","China carried out its Seventh National Population Census in November, 2020. The census will provide scientific and accurate statistical info<语级> support for China to embark on a new journey toward building a modern socialist country. The census reflects the internal need for the push<语级> of quality economic development. At present, China’s economy is in the critical period of transforming the development mode, making the economic structure better<语级>, and transforming the growth momentum.",,,,,,,,"<语级>：info不正式
<语级>：相较于advancement不正式
<语级>：相较于optimizing更不正式
",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'making the economic structure better' disrupts the fluency, as it is less formal and less precise compared to the original and reference texts' 'optimizing the economic structure'.""},
      {""language style"": ""The use of 'statistical info support' instead of 'statistical information support' introduces a more casual tone, which slightly deviates from the formal style of the original and reference texts.""}
    ]
}",2,2,1.00 ,0.67 ,,,,,,,
12,2021上-2,及时查清人口数量、结构和分布这一基本国情，摸清人力资源结构信息，才能够更加准确地把握需求结构、城乡结构、区域结构、产业结构等状况，为推动经济高质量发展，建设现代化经济体系提供有力的支持。,"In this context, it is important to gather accurate and up-to-date data about the size, structure and distribution of the population, as well as the demographic structure of the labor force. Only by doing so can we have a better understanding of the demand structure, the rural-urban dual structure, regional disparities, and the industrial structure, and at the same time provide strong support for high-quality development and a modern economic system. ","Only by gaining timely access to such fundamentals of the country as population size, structure and distribution and deep insights into the demographic structure information, can China have a clearer picture of its demand, urban and rural, regional, and industrial structures, etc., thus offering strong support for the high-quality economic development and the modernization of the economic system.","Only by gaining timely access to such fundamentals of the country as population digits<语级>, structure and distribution and touching the human resource structure information<过度直译>, can China have a clearer picture of its demand, city and contryside<语级>, regional, and industrial structures, etc., thus offering strong support for the high-quality economic development and the modernization of the economic system.",,,,,,,,"<语级>：digits不符合当前语境
<过于直译>
<语级>：urban and rural更正式",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'population digits' is less fluent and slightly awkward compared to 'size, structure and distribution of the population'. It does not conform to the natural expression in English.""},
      {""language style"": ""The use of 'touching the human resource structure information' is an example of over literal translation and does not match the more formal and polished style of the original text. 'Gathering' or 'understanding' would be more appropriate.""},
      {""over literal translation"": ""The phrase 'city and countryside' is a direct translation of '城乡结构', which in the context of English discussions on socio-economic structures, is more fluently rendered as 'the rural-urban dual structure' as seen in the reference text.""}
      ]
}",3,3,1.00 ,1.00 ,,,,,,,
13,2021上-3,人口普查是完善人口发展战略和政策体系，促进人口长期均衡发展的迫切需要。自2010年第六次全国人口普查以来，我国人口发展的内在动力和外部条件发生了显著改变。人口总规模增长减缓，劳动年龄人口波动下降，老龄化程度不断加深。,"The 2020 census is also an urgent requirement of modernizing our population development strategy and policy system and pushing forward the long-term, balanced development of the population. Since the sixth census in 2010, the internal dynamics and external conditions of population development in our country have witnessed notable changes. For example, population growth is slowing down; the working-age population declines despite frequent fluctuations; and, the whole country is ageing fast.","The census is also an urgent requirement to improve population development strategy and policy system, and to maintain a long-term balanced growth of population. Since the sixth national census, China has witnessed marked changes in the internal drivers and external conditions for population development, with slower population growth, declining in fluctuation of work-age population and deepening aging society.","The census is an urgent need to perfect<语级> population development strategy and policy system and to maintain a long-term balanced growth of population. Since the sixth national census, China has witnessed marked changes in external conditions and internal drivers<逻辑> for population development, with slower population growth, declining in fluctuation of work-age population<过度直译> and deepening aging society.",,,,,,,,"<语级>：improve更正式
<逻辑>：顺序错误
<过度直译>",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'declining in fluctuation of work-age population' could be more fluently expressed as 'the working-age population declines despite frequent fluctuations' to better match the reference text and improve readability.""},
      {""language style"": ""The term 'deepening aging society' could be more elegantly phrased as 'the whole country is ageing fast' to align with the language style of the reference text and enhance the overall coherence.""}
    ]
}

进程已结束，退出代码为 0",2,0.5,0.25 ,0.17 ,,,,,,,   
14,2021上-4,全面查清我国人口数量、结构、分布、城乡住房等方面的最新情况，了解人口增长、劳动力供给、流动人口变化情况，摸清老年人口规模，为制定和完善未来收入、消费、教育、就业、养老、医疗、社会保障等政策措施提供基础，也为教育和医疗机构布局、儿童和老人服务设施建设、工商业服务网点分布、城乡道路建设等提供依据。,"Therefore, it is important to collect the latest data about the size, structure and distribution of the population as well as housing conditions in rural and urban areas, learn about changes in population size, in labor supply and in migration, and calculate the size of the elderly population. These data lay the foundations for formulating and improving policy measures in terms of income, consumption, education, employment, senior care, and social protection. Also, they provide the basis for the planning of educational and medical institutions and service outlets of businesses, and the construction of facilities for children and senior citizens along with road in both rural and urban areas. ","In this context, it is necessary to upgrade the latest data about population size, structure, distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and migrant population, as well as the size of elderly population. These information will lay a solid foundation for designing and further improving policy measures of income, consumption, education, employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of business service outlets and the planning of urban and rural road construction.","In this context, it is necessary to upgrade the latest data about population size, structure, distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and people who move<语级>, as well as the size of old population<语言风格>. These information will lay a solid foundation for designing and further improving policy measures of income, consumption, education, employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of business service outlets and the planning of roads in urban and rural areas.<语级>",,,,,,,,"<语级>：相比于migrant population不正式
<语言风格>：old不礼貌
<语级>：相比于urban and rural road construction不正式",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'people who move' is less fluent and could be replaced with 'migration' for better readability.""},
      {""language style"": ""'old population' could be more appropriately referred to as 'the elderly population' to maintain consistency with the reference text and to match the formal tone of the document.""},
      {""language style"": ""The use of 'These information' is grammatically incorrect and disrupts the flow. It should be 'This information' to match the singular nature of 'information'.""}
    ]
}",3,2,0.67 ,0.67 ,,,,,,,
15,2021上-5,人口普查工作从方案制定、物资准备、试点、人员培训、入户登记到数据处理等一切工作都离不开人，队伍建设非常重要。能否组织好人口普查队伍，能否做好普查人员的选调，直接影响到普查的工作质量和数据质量。,"From plan-making to preparation of materials, from pilot programs to personnel training, from door-to-door visits to data processing, every aspect of the national census depends on census workers and consequently it is imperative to enhance their capacity-building. Whether a qualified census team can be built has a direct impact on the quality of the census and the resultant data. ","The efforts of census workers are indispensable in the process of national census, from plan-making, material preparation, piloting, personnel training, door-to-door registration to data processing and thus it is critical to build a good census team. Both the organization of the team and the recruitment of census workers directly impact the quality of census and data.","The efforts of census workers are indispensable in the process of national census, from making plans<语言风格>, material preparation, personnel training, piloting<逻辑>, door-to-door registration to data processing and thus it is critical to build a good census team. Both the organization of the team and the choosing<语级> of census workers directly impact the quality of census and data.",,,,,,,,"<语言风格>：plan-making
<逻辑>：并列短语顺序
<语级>：recruitment更正式",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The translation, while maintaining the essence of the original text, slightly alters the sequence of activities mentioned, which could affect the smooth flow of information.""},
      {""language style"": ""The phrase 'it is critical to build a good census team' simplifies the original emphasis on 'capacity-building', slightly altering the nuance.""}
      ]
}",2,1,0.50 ,0.33 ,,,,,,,
16,2021下-1,中国迄今已向全球160多个国家和国际组织提供了抗疫物资援助，正在以不同方式向100多个国家和国际组织提供急需的疫苗，为全球疫情防控提供了强大助力。,We have provided pandemic supplies for more than 160 countries and international organizations and is now offering in different ways much-needed vaccines to more than 100 countries and international organizations. All these efforts mean strong momentum to pandemic response worldwide.,"We have donated supplies to over 160 countries and international organizations and are providing, by various means, vaccines to over 100 countries and international organizations in urgent need, thus giving a strong boost to the global COVID response. ","Supplies have been donated by us to over 160 countries and international organizations and vaccines are being provided, <流畅度>  by various means, to over 100 countries and international organizations in dire<语级> need, thus providing a powerful lift<语级> to the global COVID response. ",,,,,,,,"<流畅度>将主动语态改为被动语态，句子过长阅读不顺畅
<语级>：不够正式
<语级>：不够正式",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0,0.00 ,0.00 ,,,,,,,
17,2021下-2,接下来，中国将继续充分发挥自身优势，维护全球抗疫物资供应链稳定，将继续积极开展人道主义援助，向有需要的国家提供支持，将继续坚定秉持疫苗公共产品的“第一属性”，让更多发展中国家用得起、用得上安全可靠的疫苗。,"China will continue to leverage its strengths to help maintain the stability of global supply chains of anti-pandemic materials. It will offer humanitarian aid, and provide support and assistance for countries in need. In addition, acting on the belief that vaccines are public goods in nature, it will work to help ensure that safe and reliable vaccines are affordable and accessible in more developing countries.",China will continue to fully harness its strengths to keep the global supply chains for COVID supplies stable; China will continue to provide humanitarian assistance and support countries in need; and China will stay committed to making COVID vaccines a public good above anything else so that safe and effective vaccines can be affordable and accessible to more developing countries.,China will keep to flex its strengths<语言风格> to keep the global supply chains for COVID supplies stable; China will keep to provide humanitarian assistance and support countries in need; and China will keep to<重复>  making COVID vaccines a public good above anything else. The purpose of it is that<流畅度> safe and effective vaccines can be affordable and accessible to more developing countries.,,,,,,,,"<语言风格>：贬义
<重复>：重复出现keep影响流畅度
<流畅度>：断句和表达导致不够流畅",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'China will keep to flex its strengths' could be more fluently expressed as 'China will continue to leverage its strengths'. The repetition of 'keep to' throughout the text slightly hinders the smoothness.""},
      {""language style"": ""The use of 'keep to' repeatedly does not align with the more formal and varied language style of the original text. The reference text uses different phrases to express continuation ('will continue', 'will offer', 'will work to') which contributes to a more sophisticated style.""},
      {""over literal translation"": ""The phrase 'making COVID vaccines a public good above anything else' is a slightly over-literal interpretation of the original text's '疫苗公共产品的“第一属性”'. A more nuanced translation, as seen in the reference text ('acting on the belief that vaccines are public goods in nature'), would better capture the original meaning without being overly direct.""}
    ]
}",3,2,0.67 ,0.67 ,,,,,,,
18,2021下-3,我们将坚持开放合作，与各国携手推动世界经济复苏。世界充满不确定，而中国的未来是确定的，我们已顺利开启“十四五”规划，迈向2035年远景目标，加快建设更高水平开放型经济新体制。,"We will renew our commitment to reform and opening up and boost the recovery of the world economy in partnership with the wider international community. The world is awash with uncertainties, but China’s future is certain. We have rolled out the 14th Five-Year Plan and embarked on the path to Vision 2035 to build a higher-quality, open economy. ","We will uphold openness and cooperation as we work with other countries to promote world economic recovery. We have made a good start in implementing the 14th Five-Year Plan, and are developing new systems for a higher-standard open economy at a faster pace. ","We will stick to openness and cooperation, hand in hand with countries to push world economy recovery.<语级> The world is full of uncertain, but China's future is certain,<逻辑混乱> we have made a good start in implementing the 14th Five-Year Plan, and are at a faster<过度直译> speed developing new systems for a higher level open economy.",,,,,,,,"<语级>：语言不够正式
<逻辑混乱>：中国和世界存在包含关系
<过度直译>：介词短语放前面不合适",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Passable"",
    ""mark"": 7,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'hand in hand with countries to push world economy recovery' is somewhat awkward and could be more fluently expressed as 'in partnership with the wider international community to boost the recovery of the world economy'.""},
      {""language style"": ""The use of 'The world is full of uncertain' is a bit rigid and less formal than the original 'The world is awash with uncertainties'. Additionally, 'uncertain' should be pluralized to 'uncertainties' to match the noun form.""},
      {""language style"": ""The phrase 'we have made a good start in implementing the 14th Five-Year Plan, and are at a faster speed developing new systems for a higher level open economy' deviates from the concise and formal style of the original. A more aligned translation would be 'We have rolled out the 14th Five-Year Plan and embarked on the path to Vision 2035 to build a higher-quality, open economy.'""},
      {""over literal translation"": ""The translation 'stick to openness and cooperation' is a bit too literal and could be more elegantly phrased as 'renew our commitment to reform and opening up' to better capture the spirit of the original text.""}
    ]
}",4,2.5,0.63 ,0.83 ,,,,,,,
19,2021下-4,一个全面迈向高质量发展的中国，将更充分发掘自身超大市场潜力，为各国带来新的发展机遇。而一个持续扩大对外开放的中国，将进一步深化与各国互利合作，为世界经济复苏注入更多动力。,"A China that moves towards high-quality development will unleash more of its potential as a supersized market and open up more opportunities for other countries. At the same time, a China that opens wider to the rest of the world will deepen its win-win cooperation with other countries and give an added impetus to global economic recovery.","As a country pursuing high-quality development, China will further unleash the potential of its huge market to bring new development opportunities to all countries. As a country in the process of further opening up, China will deepen mutually beneficial cooperation with other countries to inject more impetus to world economic recovery.","As a country chasing<语言风格> high-quality development, China will further unleash the potential of its huge market to bring new development chances<语级> to all countries. As a country in the process of further opening up, China will deepen cooperation of mutual benefit with all countries<流畅度/语序>, to inject more power to global economy's regain.",,,,,,,,"<语言风格>：pursuing
<语级>：chances不够正式
<流畅度/语序>",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'to inject more power to global economy's regain' could be more fluently expressed as 'to inject more impetus into the global economic recovery', aligning more closely with the reference text and enhancing readability.""},
      {""language style"": ""The use of 'chasing high-quality development' and 'in the process of further opening up' slightly deviates from the concise and impactful language style of the original text. 'Moves towards high-quality development' and 'opens wider to the rest of the world' as used in the reference text are more direct and effective expressions.""}
    ]
}",2,1,0.50 ,0.33 ,,,,,,,
20,2021下-5,中国，将继续高举人类命运共同体旗帜，坚持共商共建共享原则，积极践行真正的多边主义，捍卫以《联合国宪章》为基础的国际秩序，持续完善全球治理体系，建设人类卫生健康共同体，与各国一道维护世界和平稳定，弥合人类发展鸿沟，共同开创更加美好的未来。,"Going forward, China will continue to push for a community with a shared future for mankind under the principle of extensive consultation, joint contribution, and shared benefits. It will uphold multilateralism, defend the international order underpinned by the UN Charter，upgrade the global governance system, and build a global community of health for all. Moreover, it stands ready to work together with other countries to maintain world peace and stability, bridge human development disparities and together shape the future for the better.","China will stay committed to the vision of building a community with a shared future for mankind, follow the principles of extensive consultation, joint contribution and shared benefits, uphold true multilateralism, and safeguard the international order based on the UN Charter. China will continue to improve the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, bridge the development gap, and create a brighter future for all.","China will persist in the high lifting of the flag<过度直译> of building a community with a shared future for mankind, follow the principles of extensive consultation, uphold true multilateralism, joint contribution and shared benefits<逻辑/语序>, and defend the international order with the UN Charter as the base.<流畅度/语序> China will continue to improve the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, bridge the development gap, and create a brighter future for all.",,,,,,,,"<过度直译>：stay committed to 
<逻辑/语序>：短语顺序与原文不一致
<流畅度/语序>：使用based on更简介流畅",3,"{
    ""type"": ""Fluency"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""smoothness"": ""The phrase 'persist in the high lifting of the flag' is somewhat awkward and could be more fluently expressed as 'continue to push for' to better match the reading habits of the target language readers.""},
      {""language style"": ""The phrase 'with the UN Charter as the base' could be more elegantly phrased as 'underpinned by the UN Charter' to maintain the language style of the reference text.""},
      {""over literal translation"": ""The phrase 'high lifting of the flag' is an over literal translation of '高举...旗帜'. A more idiomatic translation would be 'continue to uphold' or 'continue to champion', which would avoid the awkwardness and maintain the intended meaning.""}
      ]
}",3,2,0.67 ,0.67 ,,,,,,,
21,2021上-1,2020年11月中国开始了第七次人口普查。人口普查将为开启全面建设社会主义现代化国家新征程提供科学准确的统计信息支持。开展第七次全国人口普查，是推动经济高质量发展的内在要求。当前，我国经济正处于转变发展方式、优化经济结构、转换增长动力的攻关期。,"In November 2020, China launched its seventh national census. The census will provide relevant and accurate statistical information for the country as it embarks on the journey of building a modern socialist country in all respects. The latest census is an inherent requirement of enhanced high-quality economic development. The Chinese economy is now at a significant stage of transforming the growth model, enhancing economic restructuring, and transitioning to new growth drivers.","China carried out its Seventh National Population Census in November, 2020. The census will provide scientific and accurate statistical information support for China to embark on a new journey toward building a modern socialist country. The census reflects the internal need for the advancement of quality economic development. At present, China’s economy is in the critical period of transforming the development mode, optimizing the economic structure, and transforming the growth momentum.","China will carry out<时态错误> its seventh National Population Census in November, 2020. The census will provide scientific and accurate statistical information support for China to embark in<搭配错误> a new journey toward building a modern socialist country. The census reflects the internal need for the advancement of quality economi<拼写错误> development. At present, China’s economy is in the critical period of transforming the development mode, optimizing the economic structure, and transforming the growth momentum.",,,,,,,,,,,,,,,"<时态错误>：应该为过去时
<搭配错误>：embark on
<拼写错误>：economic",3,"{
    ""type"": ""Technical issues"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""Spelling"": ""The word 'economi' is spelled incorrectly. The correct spelling is 'economic'.""},
      {""Terminology"": ""The phrase 'China will carry out' should be 'China carried out' to accurately reflect the past event.""},
      {""Terminology"": ""The phrase 'to embark in' should be 'to embark on' to correctly use the idiom.""}
    ]
}",3,3,1.00 ,1.00 
22,2021上-2,及时查清人口数量、结构和分布这一基本国情，摸清人力资源结构信息，才能够更加准确地把握需求结构、城乡结构、区域结构、产业结构等状况，为推动经济高质量发展，建设现代化经济体系提供有力的支持。,"In this context, it is important to gather accurate and up-to-date data about the size, structure and distribution of the population, as well as the demographic structure of the labor force. Only by doing so can we have a better understanding of the demand structure, the rural-urban dual structure, regional disparities, and the industrial structure, and at the same time provide strong support for high-quality development and a modern economic system. ","Only by gaining timely access to such fundamentals of the country as population size, structure and distribution and deep insights into the demographic structure information, can China have a clearer picture of its demand, urban and rural, regional, and industrial structures, etc., thus offering strong support for the high-quality economic development and the modernization of the economic system.","Only by gaining timely access to such fundamentals of the country as population size, structure and distribution and deep insights into the demograpic<拼写错误> structure information, can China have a clearer picture of its demand, urban and rural, region<语法错误/词性错误>, and industrial structures, etc., thus offer<语法错误> strong support for the high-quality economic development and the modernization of the economic system.",,,,,,,,,,,,,,,"<拼写错误>：demographic
<语法错误/词性错误>：regional
<语法错误>：副词后为动名词",3,"{
    ""type"": ""Linguistic convention"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""Spelling"": ""The word 'demograpic' is misspelled. The correct spelling is 'demographic'.""}
    ]
}",1,1,1.00 ,0.33 
23,2021上-3,人口普查是完善人口发展战略和政策体系，促进人口长期均衡发展的迫切需要。自2010年第六次全国人口普查以来，我国人口发展的内在动力和外部条件发生了显著改变。人口总规模增长减缓，劳动年龄人口波动下降，老龄化程度不断加深。,"The 2020 census is also an urgent requirement of modernizing our population development strategy and policy system and pushing forward the long-term, balanced development of the population. Since the sixth census in 2010, the internal dynamics and external conditions of population development in our country have witnessed notable changes. For example, population growth is slowing down; the working-age population declines despite frequent fluctuations; and, the whole country is ageing fast.","The census is also an urgent requirement to improve population development strategy and policy system, and to maintain a long-term balanced growth of population. Since the sixth national census, China has witnessed marked changes in the internal drivers and external conditions for population development, with slower population growth, declining in fluctuation of work-age population and deepening aging society. ","The census is also an urgent requirement to improve population development strategy and policy system, and to maintain a long-term balance<词性错误> growth of population. Since the six<语法错误> national census, China has witnessed marked changes in the internal drivers and external conditions for population development, with slower population growth, declining in fluctuation of work-age population and deepen<词性错误> aging society. ",,,,,,,,,,,,,,,"<词性错误>：balanced
<语法错误>：six
<词性错误>：deepen",3,"{
    ""type"": ""Linguistic convention"",
    ""grade"": ""Passable"",
    ""mark"": 6,
    ""mistakes"": [
      {""Numerical Conversion"": ""It should be 'Since the sixth national census' instead of 'Since the six national census'. The correct usage includes the ordinal number (sixth) not the cardinal number (six).""},
      {""Grammar"": ""The phrase 'declining in fluctuation of work-age population' is grammatically incorrect. It should be 'decline in the fluctuation of the working-age population'.""},
      {""Terminology"": ""'deepen aging society' is not the correct term. It should be 'deepening of the aging society' or 'increasingly aging society'.""},
      {""Punctuation"": ""The text lacks proper punctuation in several places, affecting its readability. For example, a comma is needed after 'policy system'.""}
    ]
}",4,1,0.25 ,0.33 
24,2021上-4,全面查清我国人口数量、结构、分布、城乡住房等方面的最新情况，了解人口增长、劳动力供给、流动人口变化情况，摸清老年人口规模，为制定和完善未来收入、消费、教育、就业、养老、医疗、社会保障等政策措施提供基础，也为教育和医疗机构布局、儿童和老人服务设施建设、工商业服务网点分布、城乡道路建设等提供依据。,"Therefore, it is important to collect the latest data about the size, structure and distribution of the population as well as housing conditions in rural and urban areas, learn about changes in population size, in labor supply and in migration, and calculate the size of the elderly population. These data lay the foundations for formulating and improving policy measures in terms of income, consumption, education, employment, senior care, and social protection. Also, they provide the basis for the planning of educational and medical institutions and service outlets of businesses, and the construction of facilities for children and senior citizens along with road in both rural and urban areas. ","In this context, it is necessary to upgrade the latest data about population size, structure, distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and migrant population, as well as the size of elderly population. These information will lay a solid foundation for designing and further improving policy measures of income, consumption, education, employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of business service outlets and the planning of urban and rural road construction.","In this context, it is necessary to upgrade the latest data about population size, structure, distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and migrant population, as well as the size of elderly population. These information will lay a solid foundation for designing and further improve<语法错误/词性错误> policy measure<语法错误/单复数> of income, consumption, education, employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of busines<拼写错误> service outlets and the planning of urban and rural road construction.",,,,,,,,,,,,,,,"<语法错误/词性错误>：动名词
<语法错误/单复数>：复数
<拼写错误>：business，丢失s",3,"{
    ""type"": ""Linguistic convention"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {
        ""Terminology"": ""The term 'migrant population' in 'labor supply and migrant population' is a less precise translation of '流动人口变化情况'. A more accurate term would be 'migration changes' to reflect the dynamic aspect.""
      },
      {
        ""Grammar"": ""The phrase 'These information' should be 'This information'. 'Information' is an uncountable noun and thus takes a singular verb form.""
      },
      {
        ""Terminology"": ""The term 'busines service outlets' contains a spelling error and should be 'business service outlets'. Additionally, it slightly deviates from the more specific '工商业服务网点分布', which could be more accurately translated as 'commercial and industrial service outlets distribution'.""
      },
      {
        ""Punctuation"": ""The text could benefit from an Oxford comma in the series 'income, consumption, education, employment, elderly service, medical care and social security' for clarity, although its absence is not strictly an error.""
      }
    ]
}",4,1,0.25 ,0.33 
25,2021上-5,人口普查工作从方案制定、物资准备、试点、人员培训、入户登记到数据处理等一切工作都离不开人，队伍建设非常重要。能否组织好人口普查队伍，能否做好普查人员的选调，直接影响到普查的工作质量和数据质量。,"From plan-making to preparation of materials, from pilot programs to personnel training, from door-to-door visits to data processing, every aspect of the national census depends on census workers and consequently it is imperative to enhance their capacity-building. Whether a qualified census team can be built has a direct impact on the quality of the census and the resultant data. ","The efforts of census workers are indispensable in the process of national census, from plan-making, material preparation, piloting, personnel training, door-to-door registration to data processing and thus it is critical to build a good census team. Both the organization of the team and the recruitment of census workers directly impact the quality of census and data.","The effort<语法错误/单复数> of census workers are indispensable in the process of national census, from plan-making, material preparation, piloting, personnel training, door-to-door registration,<搭配错误> data processing and thus it is critical to build a good census team. Both the organization of the team and the recruitment of census workers directly impacts<语法错误> the quality of census and data.",,,,,,,,,,,,,,,"<语法错误/单复数>：efforts
<搭配错误>：from...to
<语法错误>：impact",3,"{
    ""type"": ""Linguistic convention"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""Grammar"": ""The subject 'effort' should be plural 'efforts' to match the plural verb 'are'.""},
      {""Punctuation"": ""The list in the sentence should have an 'and' before 'data processing' to correctly separate the last item.""}
    ]
}",2,1,0.50 ,0.33 
26,2021下-1,中国迄今已向全球160多个国家和国际组织提供了抗疫物资援助，正在以不同方式向100多个国家和国际组织提供急需的疫苗，为全球疫情防控提供了强大助力。,We have provided pandemic supplies for more than 160 countries and international organizations and is now offering in different ways much-needed vaccines to more than 100 countries and international organizations. All these efforts mean strong momentum to pandemic response worldwide.,"We have donated supplies to over 160 countries and international organizations and are providing, by various means, vaccines to over 100 countries and international organizations in urgent need, thus giving a strong boost to the global COVID response. ","We donated<时态错误> supplies to over one hundred and sixty<数字使用习惯> countries and international organizations and are providing, by various means, vaccines to over 100 countries and international organizations with<介词错误> urgent need, thus giving a strong boost to the global COVID response. ",,,,,,,,,,,,,,,"<时态错误>：完成时
<数字使用习惯>：习惯直接使用数字
<介词错误>：in",3,"{
    ""type"": ""Linguistic convention"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0,0.00 ,0.00 
