1. 错误类型,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2. 错误数量,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,3. 错误共现,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,4. 参考译文,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,5.稳定性,Unnamed: 46,Unnamed: 47
,3,4,3,0.75,1,0.8571428571428571,,,,9,5,3,0.6,0.6,0.6,,,,9,3,4,2,0.5,0.6666666666666666,0.5714285714285715,,,9,3,4,3,0.75,1,0.8571428571428571,,,9,3,4,3,0.75,0.3333333333333333,0.46153846153846156,,,Punctuation; Terminology_A; Terminology_B;,0.1
,3,2,2,1,0.6666666666666666,0.8,,,,10,3,1.5,0.5,0.3,0.37499999999999994,,,,10,3,3,1.5,0.5,0.5,0.5,,,10,3,2,2,1,0.6666666666666666,0.8,,,10,3,0,0,0,0,0,,,,
Average Score,3,2.8,1.55,0.5583333333333333,0.5166666666666667,0.521547619047619,,,Average,,3.6,2.1,0.6116666666666666,0.42000000000000004,0.4848809523809524,,,Average,,3,2.7,1.55,0.6,0.5,0.5004761904761904,,Average,,3,2.8,1.55,0.5583333333333333,0.5166666666666667,0.521547619047619,,Average,,3,1.7,1.15,0.425,0.2316666666666667,0.27246336996336995,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,去掉所有的无效数据,,,,,,,,,,,
,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,Paragraph Number,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,
Fluency,3,2,2,1,0.6666666666666666,0.8,,,Error Numbers:3,1,3,3,1,1,1,,,Fluency,1,3,3,2,0.6666666666666666,0.6666666666666666,0,,Fluency,1,3,2,2,1,0.6666666666666666,0.8,,Fidelity,3,3,5,2.5,0.5,0.8333333333333334,0.625,,,,
,3,3,3,1,1,1,,,,2,1,1,1,0.3333333333333333,0.5,,,,2,3,3,3,1,1,1,,,2,3,3,3,1,1,1,,,4,3,2,2,1,0.6666666666666666,0.8,,,,
,3,2,0.5,0.25,0.16666666666666666,0.2,,,,3,4,1,0.25,0.3333333333333333,0.28571428571428575,,,,3,3,2,1,0.5,0.3333333333333333,0.4,,,3,3,2,0.5,0.25,0.16666666666666666,0.2,,,5,3,2,2,1,0.6666666666666666,0.8,,,,
,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,4,4,1,0.25,0.3333333333333333,0.28571428571428575,,,,4,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,4,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,8,3,2,2,1,0.6666666666666666,0.8,,,,
,3,2,1,0.5,0.3333333333333333,0.4,,,,5,2,1,0.5,0.3333333333333333,0.4,,,,5,3,2,1,0.5,0.3333333333333333,0.4,,,5,3,2,1,0.5,0.3333333333333333,0.4,,,9,3,4,3,0.75,1,0.8571428571428571,,,,
,3,0,0,0,0,0,,,,6,0,0,0,0,0,,,,6,3,2,2,1,1,1,,,6,3,0,0,0,0,0,,Average,,3,3,2.3,0.85,0.7666666666666666,0.7764285714285715,,,,
,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,7,1,1,1,0.3333333333333333,0.5,,,,7,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,7,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,
,3,4,2.5,0.625,0.8333333333333334,0.7142857142857143,,,,8,2,2,1,0.6666666666666666,0.8,,,,8,3,4,3,0.75,1,0.8571428571428571,,,8,3,4,2.5,0.625,0.8333333333333334,0.7142857142857143,,,,,,,,,,,,,
,3,2,1,0.5,0.3333333333333333,0.4,,,,9,2,1,0.5,0.3333333333333333,0.4,,,,9,3,3,2.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,9,3,2,1,0.5,0.3333333333333333,0.4,,,,,,,,,,,,,
,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,10,2,2,1,0.6666666666666666,0.8,,,,10,3,2,1,0.5,0.5,0.5,,,10,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,
Average,3,2.4,1.6,0.5875,0.5333333333333333,0.5514285714285714,,,Average,,2.1,1.3,0.65,0.4333333333333333,0.49714285714285716,,,Average,,3,2.7,1.95,0.7083333333333333,0.7,0.6323809523809523,,Average,,3,2.4,1.6,0.5875,0.5333333333333333,0.5514285714285714,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,Paragraph Number,Errors Detected by GPT,,,,,,,,Category,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,,,,,,,,,,,,,,,,,,,
Linguistic conventrion,3,3,3,1,1,1,,,Error Numbers:0,1,0,,,,,,,Fidelity,错误共现,3,2.7,1.55,0.6,0.5,0.5004761904761904,,,,,,,,,,,,,,,,,,,,,,
,3,1,1,1,0.3333333333333333,0.5,,,,2,2,,,,,,,,错误不共现,3,2.8,1.55,0.5583333333333333,0.5166666666666667,0.521547619047619,,,,,,,,,,,,,,,,,,,,,,
,3,4,1,0.25,0.3333333333333333,0.28571428571428575,,,,3,2,,,,,,,Fluency,错误共现,3,2.7,1.95,0.71,0.7,0.63,,,,,,,,,,,,,,,,,,,,,,
,3,4,1,0.25,0.3333333333333333,0.28571428571428575,,,,4,0,,,,,,,,错误不共现,3,2.4,1.6,0.5875,0.5333333333333333,0.5514285714285714,,,,,,,,,,,,,,,,,,,,,,
,3,2,1,0.5,0.3333333333333333,0.4,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,0,0,0,0,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,1,1,0.3333333333333333,0.5,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,2,1,0.6666666666666666,0.8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,1,0.5,0.3333333333333333,0.4,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,2,1,0.6666666666666666,0.8,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,3,2.1,1.3,0.65,0.4333333333333333,0.49714285714285716,,,Average,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,Annotated Errors Numbera,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidelity,3,2.8,1.55,0.5583333333333333,0.5166666666666667,0.521547619047619,,,5,3.6,2.1,0.61,0.42,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluency,3,2.4,1.6,0.59,0.53,0.55,,,3,2.1,1.3,0.65,0.4333333333333333,0.49714285714285716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linguistic Convention,3,2.1,1.3,0.65,0.4333333333333333,0.49714285714285716,,,0,0.4,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
